boat_type,manufacturer,model_year,length_ft,beam_ft,engine_hp,hull_material,condition,location,days_on_lot,sale_month,sale_price
Center Console,Chaparral,2015,23.8,8.0,420,Aluminum,Good,Galveston,50,7,52000
Pontoon,Robalo,2021,28.6,9.6,269,Fiberglass,Excellent,South Padre Island,80,8,64900
Pontoon,Tracker,2011,19.9,5.9,305,Aluminum,Fair,Corpus Christi,10,8,26700
Deck Boat,Bayliner,2023,16.4,4.6,207,Fiberglass,Excellent,Corpus Christi,142,4,49100
Deck Boat,Mako,2017,26.9,8.2,409,Fiberglass,Good,Galveston,184,1,46400
Bowrider,Sea Hunt,2018,25.8,7.5,103,Aluminum,Excellent,Galveston,158,9,37300
Center Console,Bayliner,2012,23.6,7.4,178,Fiberglass,Good,Galveston,65,10,38800
Pontoon,Sea Hunt,2017,27.4,9.8,446,Fiberglass,Excellent,Corpus Christi,99,12,58200
Bay Boat,Mako,2010,27.8,8.2,256,Fiberglass,Excellent,Galveston,191,12,46500
Center Console,Grady-White,2023,24.2,7.4,140,Fiberglass,Good,Corpus Christi,87,7,48500
Deck Boat,Bayliner,2021,29.5,10.0,230,Fiberglass,Excellent,Corpus Christi,168,10,52000
Bowrider,Tracker,2016,26.1,8.4,170,Fiberglass,Excellent,South Padre Island,117,6,41400
Pontoon,Sea Hunt,2022,25.5,7.2,271,Fiberglass,Fair,Galveston,102,9,30600
Pontoon,Bennington,2022,21.1,6.2,163,Fiberglass,New,Galveston,119,12,50600
Pontoon,Grady-White,2011,16.0,5.7,224,Fiberglass,Good,Port Isabel,48,9,35700
Pontoon,Tracker,2010,19.4,5.6,415,Fiberglass,Good,Port Isabel,87,6,41300
Deck Boat,Bayliner,2013,26.7,8.8,105,Fiberglass,Excellent,South Padre Island,64,5,40000
Center Console,Mako,2010,25.9,8.9,361,Fiberglass,Good,Rockport,152,5,51100
Bowrider,Mako,2018,20.6,6.2,104,Fiberglass,New,Corpus Christi,124,5,53800
Deck Boat,Bayliner,2017,24.8,8.4,246,Fiberglass,Good,Port Isabel,82,9,35900
Deck Boat,Tracker,2018,18.7,5.5,325,Fiberglass,Excellent,South Padre Island,165,8,54900
Bay Boat,Grady-White,2011,19.7,6.0,433,Fiberglass,Excellent,Rockport,93,4,77600
Center Console,Grady-White,2023,29.3,8.9,168,Fiberglass,Excellent,Port Isabel,190,8,62700
Bowrider,Boston Whaler,2024,21.8,7.8,94,Fiberglass,Fair,Rockport,123,5,35600
Pontoon,Robalo,2018,19.4,5.8,356,Fiberglass,Good,Port Isabel,177,7,42200
Pontoon,Bayliner,2010,22.8,6.6,410,Fiberglass,Fair,Corpus Christi,197,5,32400
Deck Boat,Grady-White,2015,21.4,7.6,286,Aluminum,Good,Port Aransas,68,6,58200
Bowrider,Bennington,2020,26.2,7.7,97,Fiberglass,Good,Galveston,55,8,37200
Deck Boat,Boston Whaler,2021,29.5,10.3,262,Fiberglass,Good,Galveston,167,8,54300
Deck Boat,Tracker,2013,24.3,8.1,221,Fiberglass,Fair,Corpus Christi,50,8,27100
